firstname,company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact
el,el corte ingles,0.0,1.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0
elecosy,elecosy bvba,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
elevate,elevate textiles,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
elie,elie tahari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elis,elis textil service ab,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
elpuente,elpuente,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
elvang,elvang denmark a/s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
elvis,elvis & kresse,90.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
encircled,encircled,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
enda,enda athletic inc.,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eneache,eneache sa,104.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engelbert,engelbert strauss gmbh & co. kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
equo,equo garantito,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eralda,eralda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ercado,ercado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ermenegildo,ermenegildo zegna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0
esgii,esgii,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
esperanza,esperanza café,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
esprit,esprit,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0
etiko,etiko pty ltd,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
european,european fair trade association (efta),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
evea,evea eco fashion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
everlane,everlane,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
everybody,everybody & everyone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
express,express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
eza,eza fairer handel gmbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
faherty,faherty brands,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
fair,fair,80.8,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
fair-band,fair-band,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fair-netz,fair-netz (netzwerk regionaler fair-handelszentren e.v),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fairforward,fairforward,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fairmail,fairmail cards,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
fairtrade,fairtrade czech republic and slovakia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
falabella,falabella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0
fall-rush,fall-rush,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
famous,famous footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0
fanatics,fanatics,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0
farfetch,farfetch,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fashion,fashion nova,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
fashion3,fashion3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
fast,fast retailing,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
fast-retailing,fast-retailing,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fatface,fatface,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
feelgoodz,feelgoodz llc,80.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fendi,fendi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
fenix,fenix outdoor international ag,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fenix-outdoor,fenix-outdoor,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
fgv-holdings,fgv-holdings,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
figs,figs,116.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fila,fila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
finisterre,finisterre,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fjällräven,fjällräven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0
