company_name,BcorporationScore,Climate,FairLabour,FairTrade,Leather_working,bluesign,ScienceBased,FTI,fashionPact,DottyRank
eco-bags products,91.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
"ecoalf recycled fabrics, sl",81.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
ecoffins,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
eddie bauer,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1
edelrid gmbh co. kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
egos copenhagen,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
eileen fisher,96.2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9
ekornes as,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
el corte ingles,0.0,1.0,0.0,1.0,0.0,0.0,0.0,27.0,1.0,10
elecosy bvba,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
elevate textiles,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
elie tahari,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
elis textil service ab,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0
elpuente,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
elvang denmark a/s,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
elvis & kresse,90.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
encircled,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
enda athletic inc.,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
eneache sa,104.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
engelbert strauss gmbh & co. kg,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
equo garantito,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
eralda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
ercado,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
ermenegildo zegna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,1.0,1
esgii,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
esperanza café,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
esprit,0.0,1.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,3
etiko pty ltd,95.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8
european fair trade association (efta),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
evea eco fashion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
everlane,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
everybody & everyone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1
express,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0
eza fairer handel gmbh,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
faherty brands,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
fair,80.8,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10
fair-band,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
fair-netz (netzwerk regionaler fair-handelszentren e.v),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
fairforward,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
fairmail cards,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
fairtrade czech republic and slovakia,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10
falabella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0
fall-rush,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
famous footwear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0
